"","Units","MeterInformation_fk","Permit_Ref","Inspection_Date","Meter_Reading","Fixed_Zeros","Multiplier","NumberOfDials","Prev_insp_date","Prev_meter_read","Volume_Used","Use_Period","PermitList_fk","WR_Number","Latitude","Longitude","BUCode","count_permits","cf","converted_use_rate_AFD"
"802","Acre-Inches","tcuSy1TKbas3","3S7Zv6iKAq0Z, 2Y12okG-GJ3y",2020-10-13,410720,0,0.01,6,2020-02-24,299105,1116.15,232,"2Y12okG-GJ3y","P79310.0W",41.00214,-104.25748,"IRR_GW",2,12,0.400915948275862
"803","Acre-Inches","Qisiyf0PfuvC","eMI4TArHhjwL",2021-10-06,112,0,0.01,6,2020-10-15,112,0,356,"eMI4TArHhjwL","P847.0W",41.03456,-104.12965,"IRR_GW",1,12,0
"804","Acre-Inches","tcuSy1TKbas3","3S7Zv6iKAq0Z, 2Y12okG-GJ3y",2020-10-13,410720,0,0.01,6,2020-02-24,299105,1116.15,232,"3S7Zv6iKAq0Z","P128.0G",41.00214,-104.25748,"IRR_GW",2,12,0.400915948275862
"805","Acre-Inches","W7xp9NEkIqmW","YIBiMlyw8unW",2020-11-04,830895,0,0.01,6,2020-02-21,645658,1852.37,257,"YIBiMlyw8unW","P3.0G",41.274186,-104.1286,"IRR_GW",1,12,0.60063878080415
"806","Acre-Inches","S-1jlh2yf1o4","u0yXaEiHSALP",2021-10-11,431297,0,0.001,6,2020-10-13,289680,141.617,363,"u0yXaEiHSALP","P19798.0W",41.00786,-104.237,"IRR_GW",1,12,0.0325107897153352
"807","Acre-Inches","tcuSy1TKbas3","3S7Zv6iKAq0Z, 2Y12okG-GJ3y",2021-10-11,492239,0,0.01,6,2020-10-13,410720,815.19,363,"3S7Zv6iKAq0Z","P128.0G",41.00214,-104.25748,"IRR_GW",2,12,0.187141873278237
"808","Acre-Inches","SqHyT4B6hVxv","tXfstFhtyCgy, AGR9jo1UfNId",2020-10-15,219245,0,0.01,6,2019-11-20,142991,762.54,330,"tXfstFhtyCgy","P34.0C",41.03111,-104.1224,"IRR_GW",2,12,0.192560606060606
"809","Acre-Inches","yvZI2XLMa7Pk","-yamgg2HkVUP",2020-11-04,632457,0,0.01,6,2019-11-20,488796,1436.61,350,"-yamgg2HkVUP","P8068.0W",41.077222,-104.173595,"IRR_GW",1,12,0.34205
"810","Acre-Inches","tcuSy1TKbas3","3S7Zv6iKAq0Z, 2Y12okG-GJ3y",2021-10-11,492239,0,0.01,6,2020-10-13,410720,815.19,363,"2Y12okG-GJ3y","P79310.0W",41.00214,-104.25748,"IRR_GW",2,12,0.187141873278237
"811","Acre-Inches","ZAsdcF40sBOj","MAMpaRAb5wal, SPvolHVTwCcp, kcED2BLdk9x9",2021-10-15,109208,0,0.01,6,2020-10-08,653222,4559.86,372,"MAMpaRAb5wal","P24953.0W",41.35258,-104.22933,"IRR_GW",3,12,1.02147401433692
"812","Acre-Inches","TVVA4cRhoVsY","TS3hizW9s_jp, p1_nAzR3HgGO",2020-11-04,51103,0,0.01,6,2020-01-16,1228,498.75,293,"TS3hizW9s_jp","P62.0G",41.16534,-104.09323,"IRR_GW",2,12,0.141851535836177
"813","Barrels-Oil","UITXPUOx0F0L","um99NBzmqjyT",2021-10-22,368264,0,10,6,2020-10-08,368254,100,379,"um99NBzmqjyT","P8488.0W",41.020191,-104.385486,"IRR_GW",1,7755.351,3.40219601593872e-05
"814","Barrels-Oil","mn25AqSz5POA","ks3cvXhLs9uk",2020-10-21,91918,0,10,6,2020-03-18,90500,14180,217,"ks3cvXhLs9uk","P28516.0W",41.207167,-104.517111,"IRR_GW",1,7755.351,0.00842587551740929
"815","Barrels-Oil","UITXPUOx0F0L","um99NBzmqjyT",2020-10-08,368254,0,10,6,2019-11-04,368254,0,339,"um99NBzmqjyT","P8488.0W",41.020191,-104.385486,"IRR_GW",1,7755.351,0
